row_index,group,split,device_type
0,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
1,4pacz::op(ccccn1c2=c(c=cc=c2)c3=c1c=cc=c3)(o)=o,train,OPV
2,tdpa‑cl::o=p(o)(o)ccccn1c2cc(cl)ccc2sc2cc(cl)ccc21,train,OPV
3,tdpa‑cl::o=p(o)(o)ccccn1c2cc(cl)ccc2sc2cc(cl)ccc21,train,OPV
4,ph-4pacz::c1=cc=c(c=c1)c2=cc3=c(c=c2)n(ccccp(=o)(o)o)c4=c3c=cc=c4,train,OPV
5,br-2pacz::o=p(o)(o)ccn1c2cc(br)ccc2c2ccc(br)cc21,train,OPV
6,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
7,c60-cooh (sam1)::cccc1=c(c(=o)c=c1)c(=o)o,train,OPV
8,pcbm-cooh (sam4)::cccc1=c(c(=o)c=c1)c(=o)o,train,OPV
9,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
10,3-bpic(i)::o=p(o)(o)ccccn1c2ccccc2c2c1c1c(c3ccccc3n1ccccp(=o)(o)o)c1c2c2c(n(ccccp(=o)(o)o)c3ccccc32)cc1,train,OPV
11,3-bpic::o=p(o)(o)ccccn1c2cc3c(cc2f)c2c4c(c5c(n(c6ccccc65)ccccp(=o)(o)o)cc4)c4c3c(c3ccccc31)c(n4ccccp(=o)(o)o)c2,train,OPV
12,3-bpic-f::o=p(o)(o)ccccn1c2ccc3c4c2c2c5c(c6ccccc6n5ccccp(=o)(o)o)c5c(c6ccccc6n5ccccp(=o)(o)o)c2c4c4c3c1c1cc(f)ccc14,train,OPV
13,br-2pacz::o=p(o)(o)ccn1c2cc(br)ccc2c2ccc(br)cc21,train,OPV
14,f8-sam::o=p(o)(o)ccc(f)(f)c(f)(f)c(f)(f)c(f)(f)c(f)(f)c(f)(f)f,train,OPV
15,h8-sam::o=p(o)(o)cccccccc,train,OPV
16,dcb-bpa::c1=cc2=c(c=c1)n([3h])c3=c2c4=c(c5=c(c=cc=c5)n4cccp(=o)(o)o)c6=c3c7=c(c=cc=c7)n6cccp(=o)(o)o,train,OPV
17,"3,6-cl-2pacz::c1=c(c=c2c3=c(c=cc(=c3)cl)n(ccp(=o)(o)o)c2=c1)cl",train,OPV
18,"4,5-cl-2pacz::c1=cc2=c(c(=c1)cl)c3=c(c=cc=c3cl)n2ccp(=o)(o)o",train,OPV
19,f-2pacz::o=p(o)(o)cccn1c2ccc(f)cc2c2cc(f)ccc21,train,OPV
20,cl-2pacz::o=p(o)(o)cccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
21,br-2pacz::o=p(o)(o)ccn1c2cc(br)ccc2c2ccc(br)cc21,train,OPV
22,i-2pacz::o=p(o)(o)cccn1c2ccc(i)cc2c2cc(i)ccc21,train,OPV
23,br-2epo::o=p(o)(o)ccn1c2ccc(br)cc2oc2cc(br)ccc21,test,OPV
24,br-2ept::o=p(o)(o)ccn1c2ccc(br)cc2sc2cc(br)ccc21,train,OPV
25,br-2epse::o=p(o)(o)ccn1c2ccc(br)cc2[se]c2cc(br)ccc21,train,OPV
26,br-2pacz::o=p(o)(o)ccn1c2cc(br)ccc2c2ccc(br)cc21,train,OPV
27,meo-2pacz::coc1ccc2c(c1)c1cc(oc)ccc1n2ccp(=o)(o)o,train,OPV
28,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
29,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
30,bcbbr-c4pa::op(ccccn1c2=c(c(c=cc=c3)=c3c=c2)c4=c1c=cc(br)=c4)(o)=o,test,OPV
31,bcbbr-c4pa::op(ccccn1c2=c(c(c=cc=c3)=c3c=c2)c4=c1c=cc(br)=c4)(o)=o,test,OPV
32,bcbbr-c4pa::op(ccccn1c2=c(c(c=cc=c3)=c3c=c2)c4=c1c=cc(br)=c4)(o)=o,train,OPV
33,bcbbr-c4pa::op(ccccn1c2=c(c(c=cc=c3)=c3c=c2)c4=c1c=cc(br)=c4)(o)=o,test,OPV
34,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
35,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
36,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
37,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
38,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
39,cba::o=c(o)c1ccc(cl)cc1,test,OPV
40,fba::o=c(o)c1ccc(f)cc1,train,OPV
41,ba::o=c(o)c1ccccc1,train,OPV
42,cbsc::o=s(=o)(cl)c1ccc(cl)cc1,train,OPV
43,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
44,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
45,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
46,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
47,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
48,cba::o=c(o)c1ccc(cl)cc1,train,OPV
49,fba::o=c(o)c1ccc(f)cc1,test,OPV
50,ba::o=c(o)c1ccccc1,train,OPV
51,cbsc::o=s(=o)(cl)c1ccc(cl)cc1,train,OPV
52,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
53,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
54,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
55,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
56,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
57,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
